dataset,exp,mode,n_epochs,lr,batch_size,hidden_size,n_layers,seq_enc,tab_enc,save_weights,train,linear,finetune,fold,exclude,unlabel_ratio,label_ratio,seed,scaler,norm_type,max_auc,max_auc_lp,max_auc_ft,max_auc_all
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,0.5,1.0,0,quantile,global,0.7262931034482759,0.53125,0.6045258620689655,0.7262931034482759
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,0.5,1.0,1,quantile,global,0.6066810344827587,0.5,0.6573275862068966,0.6573275862068966
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,0.5,1.0,2,quantile,global,0.5,0.59375,0.6745689655172413,0.6745689655172413
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,0.5,1.0,3,quantile,global,0.6993534482758621,0.5517241379310345,0.6670258620689655,0.6993534482758621
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,0.5,1.0,0,quantile,global,0.6379310344827587,0.5,0.709051724137931,0.709051724137931
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,0.5,1.0,1,quantile,global,0.6120689655172414,0.6702586206896552,0.7607758620689655,0.7607758620689655
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,0.5,1.0,2,quantile,global,0.6099137931034483,0.5,0.75,0.75
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,0.5,1.0,3,quantile,global,0.6303879310344828,0.5,0.7747844827586207,0.7747844827586207
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,0.5,1.0,0,quantile,global,0.6541666666666667,0.5,0.5708333333333333,0.6541666666666667
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,0.5,1.0,1,quantile,global,0.56875,0.5,0.5875,0.5875
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,0.5,1.0,2,quantile,global,0.6416666666666666,0.5,0.6041666666666667,0.6416666666666666
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,0.5,1.0,3,quantile,global,0.6583333333333333,0.6229166666666667,0.5999999999999999,0.6583333333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,0.5,1.0,0,quantile,global,0.5354166666666667,0.5,0.7270833333333333,0.7270833333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,0.5,1.0,1,quantile,global,0.5833333333333334,0.6458333333333334,0.6520833333333333,0.6520833333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,0.5,1.0,2,quantile,global,0.5666666666666667,0.5,0.7166666666666667,0.7166666666666667
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,0.5,1.0,3,quantile,global,0.5499999999999999,0.5,0.6979166666666667,0.6979166666666667
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,0.5,1.0,0,quantile,global,0.5541666666666667,0.5,0.6666666666666666,0.6666666666666666
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,0.5,1.0,1,quantile,global,0.6916666666666667,0.5999999999999999,0.6729166666666666,0.6916666666666667
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,0.5,1.0,2,quantile,global,0.5,0.575,0.6083333333333333,0.6083333333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,all,0.5,1.0,3,quantile,global,0.5229166666666666,0.5187499999999999,0.6166666666666667,0.6166666666666667
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,1.0,1.0,0,quantile,global,0.6239224137931034,0.5,0.6573275862068966,0.6573275862068966
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,1.0,1.0,1,quantile,global,0.5538793103448276,0.5,0.6497844827586207,0.6497844827586207
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,1.0,1.0,2,quantile,global,0.5,0.5420258620689655,0.6713362068965517,0.6713362068965517
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,label,1.0,1.0,3,quantile,global,0.5862068965517242,0.4827586206896552,0.6077586206896551,0.6077586206896551
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,1.0,1.0,0,quantile,global,0.6379310344827587,0.5140086206896552,0.740301724137931,0.740301724137931
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,1.0,1.0,1,quantile,global,0.5808189655172413,0.5,0.7887931034482759,0.7887931034482759
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,1.0,1.0,2,quantile,global,0.5,0.5894396551724138,0.740301724137931,0.740301724137931
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,label,1.0,1.0,3,quantile,global,0.5549568965517242,0.5280172413793103,0.771551724137931,0.771551724137931
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,1.0,0,quantile,global,0.5916666666666667,0.5041666666666667,0.6333333333333333,0.6333333333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,1.0,1,quantile,global,0.53125,0.5,0.5875,0.5875
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,1.0,2,quantile,global,0.5541666666666667,0.5354166666666667,0.6041666666666667,0.6041666666666667
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,label,1.0,1.0,3,quantile,global,0.5354166666666667,0.5458333333333333,0.6020833333333333,0.6020833333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,1.0,0,quantile,global,0.5354166666666667,0.5916666666666667,0.7270833333333333,0.7270833333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,1.0,1,quantile,global,0.6166666666666667,0.5,0.7125,0.7125
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,1.0,2,quantile,global,0.5,0.5166666666666666,0.7937500000000001,0.7937500000000001
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,1.0,3,quantile,global,0.5333333333333333,0.5583333333333335,0.7145833333333333,0.7145833333333333
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,1.0,0,quantile,global,0.5333333333333333,0.53125,0.66875,0.66875
lifesnaps,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,1.0,1,quantile,global,0.6916666666666667,0.6083333333333333,0.6333333333333333,0.6916666666666667
