dataset,exp,mode,n_epochs,lr,batch_size,hidden_size,n_layers,seq_enc,tab_enc,save_weights,train,linear,finetune,fold,exclude,unlabel_ratio,label_ratio,seed,scaler,norm_type,max_auc,max_auc_lp,max_auc_ft,max_auc_all
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,0.5,1,quantile,global,0.5174948240165631,0.5,0.7801242236024843,0.7801242236024843
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,0.5,2,quantile,global,0.5012422360248446,0.5,0.7920289855072464,0.7920289855072464
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,label,1.0,0.5,3,quantile,global,0.5113871635610766,0.5,0.7944099378881987,0.7944099378881987
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,0.5,0,quantile,global,0.5522963870177587,0.5129414166156359,0.7448662992447437,0.7448662992447437
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,0.5,1,quantile,global,0.5341498264952032,0.5055929781588079,0.7506634006940192,0.7506634006940192
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,0.5,2,quantile,global,0.5377015717493366,0.5,0.7601755460298021,0.7601755460298021
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,4,label,1.0,0.5,3,quantile,global,0.5041437027964891,0.5,0.7487854664217187,0.7487854664217187
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,1.0,0.5,0,quantile,global,0.5597166815924448,0.5446959211918913,0.8244728486526093,0.8244728486526093
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,1.0,0.5,1,quantile,global,0.5568672148497924,0.5,0.8139908817064235,0.8139908817064235
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,1.0,0.5,2,quantile,global,0.5279044207441179,0.5,0.8022470080599202,0.8022470080599202
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,0,all,1.0,0.5,3,quantile,global,0.5609175282911341,0.5,0.7970162012537653,0.7970162012537653
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,1.0,0.5,0,quantile,global,0.5407514450867053,0.5072254335260116,0.7661849710982659,0.7661849710982659
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,1.0,0.5,1,quantile,global,0.6038810900082576,0.5,0.7465317919075145,0.7465317919075145
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,1.0,0.5,2,quantile,global,0.5028075970272502,0.5,0.7665152766308836,0.7665152766308836
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,1,all,1.0,0.5,3,quantile,global,0.5767960363336087,0.5,0.7437241948802643,0.7437241948802643
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,1.0,0.5,0,quantile,global,0.5685300207039338,0.5,0.7807453416149068,0.7807453416149068
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,1.0,0.5,1,quantile,global,0.6118012422360248,0.5,0.7787784679089027,0.7787784679089027
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,1.0,0.5,2,quantile,global,0.5210144927536231,0.5,0.7950310559006212,0.7950310559006212
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,2,all,1.0,0.5,3,quantile,global,0.55351966873706,0.5,0.8108695652173913,0.8108695652173913
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,1.0,0.5,0,quantile,global,0.5635610766045548,0.5071428571428571,0.7677018633540372,0.7677018633540372
pmdata,run,clip,300,0.0001,512,64,3,transformer,resnet,False,True,True,True,3,all,1.0,0.5,1,quantile,global,0.5738095238095239,0.5,0.7478260869565218,0.7478260869565218
